Tag,Year,Kind,First authored,Single authored,PhD publication,Including PhD supervisor,Publisher,Open access,Link,Full reference,Current number of citations,Title
Abad_BScThesis_2016,2016,BSc thesis,1,1,0,0,Universidad de Cuenca,1,http://dspace.ucuenca.edu.ec/handle/123456789/25484,"Abad, L. (2016). Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca. Universidad de Cuenca.",0,Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca
Abad_Anfibios_2017,2017,Peer-reviewed paper,1,0,0,0,Revista de La Facultad de Ciencias Químicas,1,https://dspace.ucuenca.edu.ec/retrieve/0c371040-81df-45c9-9167-37f5a1e5dc32,"Abad, L., Mejía, D., León, P., Cárdenas, I., Pacheco, B., & Tonón, M. (2017). Calidad del Agua y Variables Ambientales en Hábitats para Anfibios Amenazados en la Zona Urbana de Cuenca. Revista de La Facultad de Ciencias Químicas, 18, 18–34.",2,Calidad del Agua y Variables Ambientales en Hábitats para Anfibios Amenazados en la Zona Urbana de Cuenca
Abad_PM10_2017,2017,Conference proceedings,1,0,0,0,Memorias Y Boletines De La Universidad Del Azuay,1,https://doi.org/10.33324/memorias.v1iXVI.85,"Abad, L., Mejía, D. (2017). EJE 07-07 Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca. Memorias Y Boletines De La Universidad Del Azuay, 1(XVI), 381–390. https://doi.org/10.33324/memorias.v1iXVI.85",9,Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca
Abad_STCycling_2018,2018,Peer-reviewed paper,1,0,0,0,Maskana,1,https://doi.org/10.18537/mskn.09.01.13,"Abad, L., Orellana, D. (2018). Análisis exploratorio de comportamientos de ciclistas voluntarios mediante minería de patrones espacio-temporales en Cuenca, Ecuador. MASKANA, 9(1), 141–151. https://doi.org/10.18537/mskn.09.01.13",3,"Análisis exploratorio de comportamientos de ciclistas voluntarios mediante minería de patrones espacio-temporales en Cuenca, Ecuador"
Abad_BNALisbon_2018,2018,Peer-reviewed paper,1,0,0,0,Information (MDPI),1,https://doi.org/10.3390/info9110287,"Abad, L., van der Meer, L. (2018). Quantifying Bicycle Network Connectivity in Lisbon Using Open Data. Information, 9(11), 287. https://doi.org/10.3390/info9110287",11,Quantifying Bicycle Network Connectivity in Lisbon Using Open Data
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dibiasky et al. (2021),2021,Peer-reviewed paper,1,0,1,1,Nature Communications,1,https://doi.org/10.1038/s41467-020-19160-7,"Dibiasky, K., and R. Mindy (2021), Look up!, Nature Communications, doi:10.1038/s41467-020-19160-7",34,Look up!
,,,,,,,,,,,,
Dibiasky (2021b),2021,News & Views,1,1,0,0,Nature Geoscience,1,https://dx.doi.org/doi:10.1038/ngeo2941,"Dibiasky, K. (2021b), Planetary Tectonics: Rethinking the danger of unknown near comets, edited by H. Gibson and G. D'Souza, EGU-GeoLog Blog, doi:10.1038/ngeo2941",3,Planetary Tectonics: Rethinking the danger of unknown near comets
Dibiasky (2020b),2020,Blog post,1,1,0,0,EGU Geolog,1,https://blogs.egu.eu/divisions/gd/2018/05/09/to-serve-geoscientists/,"Dibiasky, K. (2020b), Serving unknown near comets, edited by H. Gibson and G. D'Souza, EGU-GeoLog Blog",0,Serving unknown near comets
Dibiasky (2020c),2020,PhD Thesis,1,1,1,0,ETH Zurich,1,https://dx.doi.org/doi:10.3929/ethz-a-009954311,"Dibiasky, K. (2020b), A toolbox for observing comets with near-Earth orbits, PhD Thesis, ETH Zurich, doi:10.3929/ethz-a-009954311",2,A toolbox for observing comets with near-Earth orbits
,,,,,,,,,,,,
"Dibiasky (2020, CoFi)",2020,Community software,1,1,1,0,Zenodo,1,https://dx.doi.org/doi:10.5281/zenodo.1243862,"Dibiasky K. (2020), CoFi: Comet Finder (Version 1.0.0) [Software]. Zenodo. https://dx.doi.org/doi:10.5281/zenodo.1243862",22,CoFi: Comet Finder (Version 1.0.0)
,,,,,,,,,,,,
"Mindy and Dibiasky (2020, Near Comet Database)",2020,Community database,0,0,1,1,Zenodo,1,http://doi.org/10.5281/zenodo.3756716,"Mindy, R. and K. Dibiasky (2020), Near Comet Database (Version 1.0.0) [Data set]. Zenodo. http://doi.org/10.5281/zenodo.3756716",28,Near Comet Database (Version 1.0.0)
,,,,,,,,,,,,
"Dibiasky (2020, s-ink)",2022,Community website,1,1,0,0,,1,s-ink.org,s-ink.org,0,s-ink.org
