Tag,Year,Kind,First authored,Single authored,PhD publication,Including PhD supervisor,Publisher,Open access,Link,Full reference,Current number of citations,Title
Abad2024VDCcode,2024,Community software,1,1,1,0,Zenodo,1,https://doi.org/10.5281/zenodo.11612296,,0,Code and data for Vector data cubes for features evolving in space and time at AGILE 2024
Abad2024AGILE,2024,Peer-reviewed paper,1,0,1,0,AGILE GIScience Ser.,1,https://doi.org/10.5194/agile-giss-5-16-2024,,0,Vector data cubes for features evolving in space and time
Abad2024EGU,2024,Conference proceedings,1,1,1,0,EGU General Assembly 2024,1,https://doi.org/10.5194/egusphere-egu24-10019,,0,Geomorphic landform monitoring with raster and vector data cubes
Hoelbling2024DataButangbunasi,2023,Community database,0,0,0,0,Zenodo,1,https://zenodo.org/doi/10.5281/zenodo.10635101,,0,Butangbunasi landslide and landslide-dammed lake outlines based on Landsat time series with respect to typhoons
Abad2023Corrigendum,2023,Peer-reviewed paper,1,0,0,0,Science of The Total Environment,1,https://doi.org/10.1016/j.scitotenv.2023.168302,,0,Corrigendum to Detecting landslide-dammed lakes on Sentinel-2 imagery and monitoring their spatio-temporal evolution following the Kaik?ura earthquake in New Zealand [Sci. Total Environ. 820 (2022) 153335]
Abad_Blog05,2023,Blog post,1,1,0,0,Lore Abad,1,https://loreabad6.github.io/posts/2023-10-17-stac-across-languages/,"Abad (2023, October 18). Lore Abad: STAC Across Languages. Retrieved from https://loreabad6.github.io/posts/2023-10-17-stac-across-languages/",0,STAC across Languages
Abad2023IUGG,2023,Conference proceedings,1,0,0,0,IUGG 2023,1,https://doi.org/10.57757/IUGG23-0228,,0,Expert-based and data-driven gully and cliff erosion feature detection in New Zealand
Argentin2023GPC,2023,Peer-reviewed paper,0,0,0,0,Global and Planetary Change,1,https://doi.org/10.1016/j.gloplacha.2023.104190,,0,The scaling of landslide-dammed lakes
Argentin2023EGU,2023,Conference proceedings,0,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-9848,,0,Quantification of the damming and sediment trapping capacity of landslides and their dammed lakes: the example of the Hintersee landslide dam
Hoelbling2023EGU,2023,Conference proceedings,0,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-1670,,0,Semi-automated detection and delineation of earthflows in New Zealand using remote sensing - challenges and opportunities
Abad2023EGU,2023,Conference proceedings,1,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-1468,,0,"Gully and cliff erosion feature detection in the Wairoa catchment in Hawke’s Bay, New Zealand"
Abad_SliDEM,2023,Community software,1,0,0,0,Zenodo,1,https://zenodo.org/doi/10.5281/zenodo.10634421,,0,SliDEM: Assessing the suitability of DEMs derived from Sentinel-1 for landslide volume estimation.
sfnetworks,2023,Community software,0,0,0,0,CRAN,1,https://cran.r-project.org/package=sfnetworks,,12,sfnetworks: Tidy geospatial networks in R
