Tag,Year,Kind,First authored,Single authored,PhD publication,Including PhD supervisor,Publisher,Open access,Link,Full reference,Current number of citations,Title
Abad2022a,2022,Conference proceedings,1,0,0,0,EGU General Assembly 2022,1,https://doi.org/10.5194/egusphere-egu22-693,NA,0,An open-source Python package for DEM generation and landslide volume estimation based on Sentinel-1 imagery
Argentin2023EGU,2023,Conference proceedings,0,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-9848,NA,0,Quantification of the damming and sediment trapping capacity of landslides and their dammed lakes: the example of the Hintersee landslide dam
Hoelbling2023EGU,2023,Conference proceedings,0,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-1670,NA,0,Semi-automated detection and delineation of earthflows in New Zealand using remote sensing - challenges and opportunities
Abad2023EGU,2023,Conference proceedings,1,0,0,0,EGU General Assembly 2023,1,https://doi.org/10.5194/egusphere-egu23-1468,NA,0,"Gully and cliff erosion feature detection in the Wairoa catchment in Hawke’s Bay, New Zealand"
Abad2017,2017,Peer-reviewed paper,1,0,0,0,Memorias y Boletines de la Universidad del Azuay,1,10.33324/memorias.v1iXVI.85,NA,9,EJE 07-07 Estimación de la concentración de material particulado menor a 10 micras a través de sensores remotos en el área urbana de la ciudad de Cuenca
467e4448f4b441898b3849874eb18c60,2020,Conference proceedings,0,0,0,0,AGU Fall Meeting,1,https://ui.adsabs.harvard.edu/abs/2020AGUFMH011.0021D,NA,0,"Multi-temporal Mapping and Analysis of Ice-marginal Lakes using Sentinel-1: a Case Study from the Southern Margin of the Vatnajökull Ice Cap, Southeast Iceland"
a252d1b5a14048beb6a6639fcb4d0db1,2022,Conference proceedings,0,0,0,0,Disaster Research Days 2022,1,https://www.dcna.at/files/tao/img/veranstaltungen/drd22/2022-11%20Konferenzband_DRD22.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=2022-11+Sondernewsletter+Podcast+%2B+Konferenzband,NA,0,How applicable are DEMs created from Sentinel-1 for estimating the volume of landslides?
99ebced6d12b492c8a3dcd1a6bda8204,2022,Peer-reviewed paper,0,0,0,0,Anais da Academia Brasileira de Ciências,1,10.1590/0001-3765202220211352,NA,0,"Landslides associated with recent road constructions in the Río Lucma catchment, eastern Cordillera Blanca, Peru"
ef749b84bdbf4d4b88012aac498fc94e,2022,Peer-reviewed paper,0,0,0,0,Geomorphology,1,10.1016/j.geomorph.2022.108363,NA,1,Influence of rheology on landslide-dammed lake impoundment and sediment trapping: Back-analysis of the Hintersee landslide dam
ABAD2022103009,2022,Peer-reviewed paper,1,0,0,0,International Journal of Disaster Risk Reduction,1,10.1016/j.ijdrr.2022.103009,NA,2,"Mass movement susceptibility assessment of alpine infrastructure in the Salzkammergut area, Austria"
Hennig2022,2022,Peer-reviewed paper,0,0,0,0,Environmental Research Letters,1,10.1088/1748-9326/ac8235,NA,0,Citizen science and geomorphology: the citizenMorph pilot system for observing and reporting data on landforms
Argentin2021,2021,Conference proceedings,0,0,0,0,EGU General Assembly 2021,1,https://doi.org/10.5194/egusphere-egu21-9862,NA,0,Size-frequency distribution of landslide-dammed lakes from a simulation approach
inproceedings,2020,Conference proceedings,1,0,0,0,EGU General Assembly 2020,1,10.5194/egusphere-egu2020-572,NA,0,Mapping and monitoring of landslide-dammed lakes using Sentinel-2 time series - a case study after the 2016 Kaikōura Earthquake in New Zealand
Holbling2020,2020,Peer-reviewed paper,0,0,0,0,Applied Sciences,1,10.3390/app10020630,NA,19,Mapping and Analyzing the Evolution of the Butangbunasi Landslide Using Landsat Time Series with Respect to Heavy Rainfall Events during Typhoons
Holbling2020,2020,Peer-reviewed paper,0,0,0,0,Applied Sciences,1,10.3390/app10020630,NA,0,Mapping and Analyzing the Evolution of the Butangbunasi Landslide Using Landsat Time Series with Respect to Heavy Rainfall Events during Typhoons
Abad2021,2021,Conference proceedings,1,0,0,0,EGU General Assembly 2021,1,https://doi.org/10.5194/egusphere-egu21-11015,NA,2,"Road Construction and Rainfall as Landslide Triggers in the Rio Lucma Catchment, Eastern Cordillera Blanca, Peru"
Argentin2020,2020,Conference proceedings,0,0,0,0,EGU General Assembly 2020,1,10.5194/egusphere-egu2020-8040,NA,0,"Landslide dam susceptibility in the Austrian Alps inferred from modelled landslides, potential valley damming and lake formation"
Albrecht2021AHORN,2021,Conference proceedings,0,0,0,0,Kurzfassungen der Beiträge zur AHORN 2021,0,NA,NA,0,"Der Einfluss von gravitativen Massenbewegungen auf die alpine Infrastruktur, beurteilt mit Fernerkundungsdaten"
Dabiri2021,2021,Peer-reviewed paper,0,0,0,0,GI_Forum,1,10.1553/giscience2021_01_s46,NA,2,Comparing the Applicability of Sentinel-1 and Sentinel-2 for Mapping the Evolution of Ice-marginal Lakes in Southeast Iceland
Hennig2019,2020,Conference proceedings,0,0,0,0,Proceedings of 5th Austrian Citizen Science Conference 2019 — PoS(ACSC2019),1,10.22323/1.366.0005,NA,1,Technological solutions for contributory citizen science: experiences from citizenMorph
Abad2022,2022,Peer-reviewed paper,1,0,1,0,Science of The Total Environment,1,10.1016/j.scitotenv.2022.153335,NA,5,Detecting landslide-dammed lakes on Sentinel-2 imagery and monitoring their spatio-temporal evolution following the Kaikōura earthquake in New Zealand
